0,0
0,25
0,50
0,75
0,100
0,125
0,150
0,175
0,200
0,225
0,250
0,275
0,300
25,0
25,25
25,50
25,75
25,100
25,125
25,150
25,175
25,200
25,225
25,250
25,275
25,300
50,0
50,25
50,50
50,75
50,100
50,125
50,150
50,175
50,200
50,225
50,250
50,275
50,300
75,0
75,25
75,50
75,75
75,100
75,125
75,150
75,175
75,200
75,225
75,250
75,275
75,300
100,0
100,25
100,50
100,75
100,100
100,125
100,150
100,175
100,200
100,225
100,250
100,275
100,300
125,0
125,25
125,50
125,75
125,100
125,125
125,150
125,175
125,200
125,225
125,250
125,275
125,300
150,0
150,25
150,50
150,75
150,100
150,125
150,150
150,175
150,200
150,225
150,250
150,275
150,300
175,0
175,25
175,50
175,75
175,100
175,125
175,150
175,175
175,200
175,225
175,250
175,275
175,300
200,0
200,25
200,50
200,75
200,100
200,125
200,150
200,175
200,200
200,225
200,250
200,275
200,300
225,0
225,25
225,50
225,75
225,100
225,125
225,150
225,175
225,200
225,225
225,250
225,275
225,300
250,0
250,25
250,50
250,75
250,100
250,125
250,150
250,175
250,200
250,225
250,250
250,275
250,300
275,0
275,25
275,50
275,75
275,100
275,125
275,150
275,175
275,200
275,225
275,250
275,275
275,300
300,0
300,25
300,50
300,75
300,100
300,125
300,150
300,175
300,200
300,225
300,250
300,275
300,300
